index,tag,depth,id,classes,attrs,inner_text_len
173,span,10,,pokedex,{},3
174,dl,9,,,{},26
175,dt,10,,,{},4
176,dd,10,,types,{},5
177,span,11,,type-label background-color-grass,{},5
178,dt,10,,,{},9
179,dd,10,,abilities,{},8
180,span,11,,ability-label,{},8
181,span,9,,notch-bottom-center-small,{},0
182,a,8,,block-link,"{""href"": ""/us/pokedex/bayleef"", ""title"": ""Bayleef"", ""style"": ""background-color: #fff; opacity: 0;""}",15
183,span,9,,offscreen,{},15
184,li,7,,,"{""data-analytics-label"": ""Zebstrika | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",78
185,div,8,,pokedex-bg,{},3
186,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/523.png"", ""alt"": ""Zebstrika""}",0
187,div,8,,mini-profile,{},58
188,h5,9,,,{},12
189,span,10,,pokedex,{},3
190,dl,9,,,{},46
191,dt,10,,,{},4
192,dd,10,,types,{},8
193,span,11,,type-label background-color-electric,{},8
194,dt,10,,,{},9
195,dd,10,,abilities,{},25
196,span,11,,ability-label,{},13
197,span,11,,ability-label,{},11
198,span,9,,notch-bottom-center-small,{},0
199,a,8,,block-link,"{""href"": ""/us/pokedex/zebstrika"", ""title"": ""Zebstrika"", ""style"": ""background-color: #fff; opacity: 0;""}",17
200,span,9,,offscreen,{},17
201,li,7,,,"{""data-analytics-label"": ""Drowzee | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",63
202,div,8,,pokedex-bg,{},2
203,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/096.png"", ""alt"": ""Drowzee""}",0
204,div,8,,mini-profile,{},46
205,h5,9,,,{},9
206,span,10,,pokedex,{},2
207,dl,9,,,{},37
208,dt,10,,,{},4
209,dd,10,,types,{},7
210,span,11,,type-label background-color-psychic,{},7
211,dt,10,,,{},9
